# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-08-17 16:24:43 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01105933 PASKAMANSET RIVER NEAR SOUTH DARTMOUTH, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01105933
#            TS   parameter     statistic     Description
#         64270       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64270_00060_00003	64270_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01105933	1995-10-01	2.10	A
USGS	01105933	1995-10-02	1.90	A
USGS	01105933	1995-10-03	0.82	A
USGS	01105933	1995-10-04	1.70	A
USGS	01105933	1995-10-05	6.20	A
USGS	01105933	1995-10-06	33.0	A
USGS	01105933	1995-10-07	47.0	A
USGS	01105933	1995-10-08	49.0	A
USGS	01105933	1995-10-09	35.0	A
USGS	01105933	1995-10-10	20.0	A
USGS	01105933	1995-10-11	15.0	A
USGS	01105933	1995-10-12	13.0	A
USGS	01105933	1995-10-13	12.0	A
USGS	01105933	1995-10-14	11.0	A
USGS	01105933	1995-10-15	15.0	A
USGS	01105933	1995-10-16	16.0	A
USGS	01105933	1995-10-17	14.0	A
USGS	01105933	1995-10-18	13.0	A
USGS	01105933	1995-10-19	12.0	A
USGS	01105933	1995-10-20	11.0	A
USGS	01105933	1995-10-21	12.0	A
USGS	01105933	1995-10-22	23.0	A
USGS	01105933	1995-10-23	19.0	A
USGS	01105933	1995-10-24	16.0	A
USGS	01105933	1995-10-25	14.0	A
USGS	01105933	1995-10-26	12.0	A
USGS	01105933	1995-10-27	11.0	A
USGS	01105933	1995-10-28	15.0	A
USGS	01105933	1995-10-29	24.0	A
USGS	01105933	1995-10-30	20.0	A
USGS	01105933	1995-10-31	16.0	A
USGS	01105933	1995-11-01	14.0	A
USGS	01105933	1995-11-02	23.0	A
USGS	01105933	1995-11-03	50.0	A
USGS	01105933	1995-11-04	47.0	A
USGS	01105933	1995-11-05	40.0	A
USGS	01105933	1995-11-06	30.0	A
USGS	01105933	1995-11-07	25.0	A
USGS	01105933	1995-11-08	56.0	A
USGS	01105933	1995-11-09	72.0	A
USGS	01105933	1995-11-10	68.0	A
USGS	01105933	1995-11-11	61.0	A
USGS	01105933	1995-11-12	56.0	A
USGS	01105933	1995-11-13	61.0	A
USGS	01105933	1995-11-14	63.0	A
USGS	01105933	1995-11-15	137	A
USGS	01105933	1995-11-16	203	A
USGS	01105933	1995-11-17	178	A
USGS	01105933	1995-11-18	142	A
USGS	01105933	1995-11-19	116	A
USGS	01105933	1995-11-20	100	A
USGS	01105933	1995-11-21	86.0	A
USGS	01105933	1995-11-22	76.0	A
USGS	01105933	1995-11-23	66.0	A
USGS	01105933	1995-11-24	57.0	A
