"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"1976/01/01","00:00","0.602","-","0.61"
"1976/01/01","01:00","0.446","-","0.479"
"1976/01/01","02:00","0.109","-","0.107"
"1976/01/01","03:00","-0.267","-","-0.31"
"1976/01/01","04:00","-0.526","-","-0.545"
"1976/01/01","05:00","-0.616","-","-0.588"
"1976/01/01","06:00","-0.589","-","-0.563"
"1976/01/01","07:00","-0.498","-","-0.365"
"1976/01/01","08:00","-0.334","-","-0.219"
"1976/01/01","09:00","-0.071","-","0.077"
"1976/01/01","10:00","0.273","-","0.445"
"1976/01/01","11:00","0.603","-","0.805"
"1976/01/01","12:00","0.784","-","0.979"
"1976/01/01","13:00","0.732","-","0.957"
"1976/01/01","14:00","0.455","-","0.631"
"1976/01/01","15:00","0.056","-","0.192"
"1976/01/01","16:00","-0.303","-","-0.207"
"1976/01/01","17:00","-0.514","-","-0.49"
"1976/01/01","18:00","-0.588","-","-0.563"
"1976/01/01","19:00","-0.58","-","-0.542"
"1976/01/01","20:00","-0.498","-","-0.454"
"1976/01/01","21:00","-0.307","-","-0.228"
"1976/01/01","22:00","-0.006","-","0.15"
"1976/01/01","23:00","0.331","-","0.494"
"1976/01/02","00:00","0.573","-","0.622"
"1976/01/02","01:00","0.606","-","0.54"
"1976/01/02","02:00","0.402","-","0.284"
"1976/01/02","03:00","0.037","-","-0.054"
"1976/01/02","04:00","-0.332","-","-0.356"
"1976/01/02","05:00","-0.559","-","-0.521"
"1976/01/02","06:00","-0.617","-","-0.615"
"1976/01/02","07:00","-0.572","-","-0.661"
"1976/01/02","08:00","-0.465","-","-0.554"
"1976/01/02","09:00","-0.281","-","-0.326"
"1976/01/02","10:00","-0.001","-","0.031"
"1976/01/02","11:00","0.34","-","0.397"
"1976/01/02","12:00","0.636","-","0.695"
"1976/01/02","13:00","0.764","-","0.811"
"1976/01/02","14:00","0.657","-","0.717"
"1976/01/02","15:00","0.342","-","0.372"
"1976/01/02","16:00","-0.059","-","-0.061"
"1976/01/02","17:00","-0.384","-","-0.393"
"1976/01/02","18:00","-0.552","-","-0.56"
"1976/01/02","19:00","-0.594","-","-0.582"
"1976/01/02","20:00","-0.558","-","-0.542"
"1976/01/02","21:00","-0.443","-","-0.423"
"1976/01/02","22:00","-0.223","-","-0.161"
"1976/01/02","23:00","0.086","-","0.195"
"1976/01/03","00:00","0.4","-","0.455"
"1976/01/03","01:00","0.593","-","0.604"
"1976/01/03","02:00","0.571","-","0.534"
"1976/01/03","03:00","0.326","-","0.314"
"1976/01/03","04:00","-0.047","-","0.022"
"1976/01/03","05:00","-0.388","-","-0.341"
"1976/01/03","06:00","-0.573","-","-0.545"
