Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m),,,
1/1/1991,00:00,0.663,-,0.564,,,
1/1/1991,01:00,0.619,-,0.415,,,
1/1/1991,02:00,0.33,-,0.107,,,
1/1/1991,03:00,-0.092,-,-0.298,,,
1/1/1991,04:00,-0.483,-,-0.634,,,
1/1/1991,05:00,-0.706,-,-0.816,,,
1/1/1991,06:00,-0.744,-,-0.868,,,
1/1/1991,07:00,-0.662,-,-0.801,,,
1/1/1991,08:00,-0.494,-,-0.646,,,
1/1/1991,09:00,-0.23,-,-0.39,,,
1/1/1991,10:00,0.131,-,0.046,,,
1/1/1991,11:00,0.521,-,0.445,,,
1/1/1991,12:00,0.811,-,0.711,,,
1/1/1991,13:00,0.884,-,0.829,,,
1/1/1991,14:00,0.701,-,0.631,,,
1/1/1991,15:00,0.323,-,0.247,,,
1/1/1991,16:00,-0.111,-,-0.176,,,
1/1/1991,17:00,-0.454,-,-0.548,,,
1/1/1991,18:00,-0.637,-,-0.704,,,
1/1/1991,19:00,-0.692,-,-0.783,,,
1/1/1991,20:00,-0.653,-,-0.734,,,
1/1/1991,21:00,-0.501,-,-0.557,,,
1/1/1991,22:00,-0.211,-,-0.24,,,
1/1/1991,23:00,0.173,-,0.177,,,
1/2/1991,00:00,0.532,-,0.482,,,
1/2/1991,01:00,0.714,-,0.589,,,
1/2/1991,02:00,0.631,-,0.473,,,
1/2/1991,03:00,0.308,-,0.186,,,
1/2/1991,04:00,-0.128,-,-0.216,,,
1/2/1991,05:00,-0.505,-,-0.588,,,
1/2/1991,06:00,-0.706,-,-0.78,,,
1/2/1991,07:00,-0.733,-,-0.841,,,
1/2/1991,08:00,-0.648,-,-0.78,,,
1/2/1991,09:00,-0.475,-,-0.548,,,
1/2/1991,10:00,-0.199,-,-0.265,,,
1/2/1991,11:00,0.167,-,0.122,,,
1/2/1991,12:00,0.546,-,0.503,,,
1/2/1991,13:00,0.809,-,0.765,,,
1/2/1991,14:00,0.843,-,0.808,,,
1/2/1991,15:00,0.624,-,0.564,,,
1/2/1991,16:00,0.232,-,0.162,,,
1/2/1991,17:00,-0.189,-,-0.28,,,
1/2/1991,18:00,-0.5,-,-0.588,,,
1/2/1991,19:00,-0.654,-,-0.698,,,
1/2/1991,20:00,-0.686,-,-0.765,,,
1/2/1991,21:00,-0.624,-,-0.728,,,
1/2/1991,22:00,-0.446,-,-0.524,,,
1/2/1991,23:00,-0.141,-,-0.25,,,
1/3/1991,00:00,0.243,-,0.15,,,
1/3/1991,01:00,0.581,-,0.479,,,
1/3/1991,02:00,0.728,-,0.61,,,
1/3/1991,03:00,0.61,-,0.494,,,
1/3/1991,04:00,0.27,-,0.18,,,
1/3/1991,05:00,-0.157,-,-0.207,,,
1/3/1991,06:00,-0.505,-,-0.585,,,
1/3/1991,07:00,-0.679,-,-0.786,,,
1/3/1991,08:00,-0.691,-,-0.823,,,
1/3/1991,09:00,-0.601,-,-0.713,,,
1/3/1991,10:00,-0.426,-,-0.509,,,
1/3/1991,11:00,-0.157,-,-0.198,,,
1/3/1991,12:00,0.192,-,0.192,,,
1/3/1991,13:00,0.541,-,0.528,,,
1/3/1991,14:00,0.762,-,0.705,,,
1/3/1991,15:00,0.756,-,0.68,,,
1/3/1991,16:00,0.514,-,0.409,,,
1/3/1991,17:00,0.126,-,0.028,,,
1/3/1991,18:00,-0.264,-,-0.365,,,
1/3/1991,19:00,-0.533,-,-0.597,,,
1/3/1991,20:00,-0.648,-,-0.731,,,
1/3/1991,21:00,-0.649,-,-0.731,,,
1/3/1991,22:00,-0.564,-,-0.646,,,
1/3/1991,23:00,-0.375,-,-0.49,,,
1/4/1991,00:00,-0.071,-,-0.186,,,
1/4/1991,01:00,0.294,-,0.202,,,
1/4/1991,02:00,0.598,-,0.519,,,
1/4/1991,03:00,0.706,-,0.592,,,
1/4/1991,04:00,0.564,-,0.455,,,
1/4/1991,05:00,0.226,-,0.144,,,
1/4/1991,06:00,-0.175,-,-0.219,,,
1/4/1991,07:00,-0.486,-,-0.548,,,
1/4/1991,08:00,-0.624,-,-0.688,,,
1/4/1991,09:00,-0.617,-,-0.688,,,
1/4/1991,10:00,-0.525,-,-0.573,,,
1/4/1991,11:00,-0.364,-,-0.396,,,
1/4/1991,12:00,-0.118,-,-0.158,,,
1/4/1991,13:00,0.198,-,0.131,,,
1/4/1991,14:00,0.504,-,0.415,,,
1/4/1991,15:00,0.679,-,0.58,,,
1/4/1991,16:00,0.638,-,0.54,,,
1/4/1991,17:00,0.388,-,0.314,,,
1/4/1991,18:00,0.019,-,-0.051,,,
1/4/1991,19:00,-0.33,-,-0.408,,,
1/4/1991,20:00,-0.545,-,-0.646,,,
1/4/1991,21:00,-0.612,-,-0.667,,,
1/4/1991,22:00,-0.584,-,-0.643,,,
1/4/1991,23:00,-0.488,-,-0.548,,,
1/5/1991,00:00,-0.301,-,-0.384,,,
1/5/1991,01:00,-0.014,-,-0.14,,,
1/5/1991,02:00,0.322,-,0.189,,,
1/5/1991,03:00,0.586,-,0.427,,,
1/5/1991,04:00,0.661,-,0.494,,,
1/5/1991,05:00,0.507,-,0.372,,,
1/5/1991,06:00,0.182,-,0.074,,,
1/5/1991,07:00,-0.183,-,-0.289,,,
1/5/1991,08:00,-0.446,-,-0.6,,,
1/5/1991,09:00,-0.545,-,-0.74,,,
1/5/1991,10:00,-0.523,-,-0.688,,,
1/5/1991,11:00,-0.443,-,-0.56,,,
1/5/1991,12:00,-0.307,-,-0.384,,,
1/5/1991,13:00,-0.094,-,-0.167,,,
1/5/1991,14:00,0.183,-,0.098,,,
1/5/1991,15:00,0.442,-,0.302,,,
1/5/1991,16:00,0.574,-,0.403,,,
1/5/1991,17:00,0.509,-,0.348,,,
1/5/1991,18:00,0.261,-,0.135,,,
1/5/1991,19:00,-0.079,-,-0.204,,,
1/5/1991,20:00,-0.374,-,-0.527,,,
1/5/1991,21:00,-0.528,-,-0.646,,,
1/5/1991,22:00,-0.552,-,-0.624,,,
1/5/1991,23:00,-0.507,-,-0.594,,,
1/6/1991,00:00,-0.411,-,-0.448,,,
1/6/1991,01:00,-0.236,-,-0.271,,,
1/6/1991,02:00,0.03,-,-0.033,,,
1/6/1991,03:00,0.331,-,0.241,,,
1/6/1991,04:00,0.555,-,0.473,,,
1/6/1991,05:00,0.602,-,0.497,,,
1/6/1991,06:00,0.444,-,0.363,,,
1/6/1991,07:00,0.141,-,0.071,,,
1/6/1991,08:00,-0.18,-,-0.21,,,
1/6/1991,09:00,-0.388,-,-0.493,,,
1/6/1991,10:00,-0.453,-,-0.548,,,
1/6/1991,11:00,-0.432,-,-0.496,,,
1/6/1991,12:00,-0.374,-,-0.371,,,
1/6/1991,13:00,-0.267,-,-0.31,,,
1/6/1991,14:00,-0.085,-,-0.17,,,
1/6/1991,15:00,0.153,-,0.061,,,
1/6/1991,16:00,0.37,-,0.223,,,
1/6/1991,17:00,0.465,-,0.36,,,
1/6/1991,18:00,0.382,-,0.272,,,
