Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
1/1/2015,00:00,-0.182,-,-0.066
1/1/2015,01:00,-0.396,-,-0.374
1/1/2015,02:00,-0.491,-,-0.511
1/1/2015,03:00,-0.502,-,-0.467
1/1/2015,04:00,-0.457,-,-0.361
1/1/2015,05:00,-0.335,-,-0.207
1/1/2015,06:00,-0.121,-,-0.035
1/1/2015,07:00,0.163,-,0.185
1/1/2015,08:00,0.439,-,0.413
1/1/2015,09:00,0.614,-,0.542
1/1/2015,10:00,0.621,-,0.581
1/1/2015,11:00,0.452,-,0.46
1/1/2015,12:00,0.166,-,0.199
1/1/2015,13:00,-0.122,-,-0.152
1/1/2015,14:00,-0.324,-,-0.448
1/1/2015,15:00,-0.438,-,-0.561
1/1/2015,16:00,-0.49,-,-0.568
1/1/2015,17:00,-0.467,-,-0.468
1/1/2015,18:00,-0.341,-,-0.346
1/1/2015,19:00,-0.111,-,-0.188
1/1/2015,20:00,0.168,-,0.063
1/1/2015,21:00,0.395,-,0.29
1/1/2015,22:00,0.473,-,0.45
1/1/2015,23:00,0.36,-,0.439
1/2/2015,00:00,0.094,-,0.2
1/2/2015,01:00,-0.211,-,-0.107
1/2/2015,02:00,-0.429,-,-0.448
1/2/2015,03:00,-0.516,-,-0.637
1/2/2015,04:00,-0.511,-,-0.638
1/2/2015,05:00,-0.444,-,-0.543
1/2/2015,06:00,-0.309,-,-0.374
1/2/2015,07:00,-0.091,-,-0.182
1/2/2015,08:00,0.191,-,0.05
1/2/2015,09:00,0.47,-,0.282
1/2/2015,10:00,0.644,-,0.433
1/2/2015,11:00,0.637,-,0.487
1/2/2015,12:00,0.44,-,0.382
1/2/2015,13:00,0.126,-,0.142
1/2/2015,14:00,-0.177,-,-0.215
1/2/2015,15:00,-0.378,-,-0.528
1/2/2015,16:00,-0.479,-,-0.684
1/2/2015,17:00,-0.51,-,-0.697
1/2/2015,18:00,-0.467,-,-0.633
1/2/2015,19:00,-0.325,-,-0.498
1/2/2015,20:00,-0.082,-,-0.253
1/2/2015,21:00,0.209,-,0.023
1/2/2015,22:00,0.438,-,0.266
1/2/2015,23:00,0.501,-,0.354
1/3/2015,00:00,0.356,-,0.242
1/3/2015,01:00,0.055,-,-0.026
1/3/2015,02:00,-0.267,-,-0.361
1/3/2015,03:00,-0.477,-,-0.653
1/3/2015,04:00,-0.543,-,-0.801
1/3/2015,05:00,-0.512,-,-0.751
1/3/2015,06:00,-0.424,-,-0.633
1/3/2015,07:00,-0.276,-,-0.447
1/3/2015,08:00,-0.049,-,-0.205
1/3/2015,09:00,0.242,-,0.083
1/3/2015,10:00,0.52,-,0.344
1/3/2015,11:00,0.673,-,0.493
1/3/2015,12:00,0.629,-,0.489
1/3/2015,13:00,0.389,-,0.302
1/3/2015,14:00,0.047,-,-0.003
1/3/2015,15:00,-0.258,-,-0.304
1/3/2015,16:00,-0.441,-,-0.529
1/3/2015,17:00,-0.515,-,-0.631
1/3/2015,18:00,-0.52,-,-0.627
1/3/2015,19:00,-0.453,-,-0.595
1/3/2015,20:00,-0.288,-,-0.435
1/3/2015,21:00,-0.022,-,-0.131
1/3/2015,22:00,0.279,-,0.23
1/3/2015,23:00,0.492,-,0.493
1/4/2015,00:00,0.514,-,0.626
1/4/2015,01:00,0.322,-,0.507
1/4/2015,02:00,-0.013,-,0.263
1/4/2015,03:00,-0.34,-,-0.045
1/4/2015,04:00,-0.528,-,-0.281
1/4/2015,05:00,-0.561,-,-0.32
1/4/2015,06:00,-0.503,-,-0.256
1/4/2015,07:00,-0.396,-,-0.091
1/4/2015,08:00,-0.23,-,0.083
1/4/2015,09:00,0.016,-,0.31
1/4/2015,10:00,0.314,-,0.525
1/4/2015,11:00,0.572,-,0.688
1/4/2015,12:00,0.682,-,0.782
1/4/2015,13:00,0.583,-,0.723
1/4/2015,14:00,0.299,-,0.516
1/4/2015,15:00,-0.06,-,0.178
1/4/2015,16:00,-0.348,-,-0.196
1/4/2015,17:00,-0.496,-,-0.422
1/4/2015,18:00,-0.539,-,-0.493
1/4/2015,19:00,-0.516,-,-0.419
1/4/2015,20:00,-0.42,-,-0.287
1/4/2015,21:00,-0.221,-,-0.052
1/4/2015,22:00,0.067,-,0.261
1/4/2015,23:00,0.359,-,0.475
1/5/2015,00:00,0.531,-,0.605
1/5/2015,01:00,0.497,-,0.6
1/5/2015,02:00,0.254,-,0.458
1/5/2015,03:00,-0.105,-,0.206
1/5/2015,04:00,-0.417,-,-0.114
1/5/2015,05:00,-0.566,-,-0.36
1/5/2015,06:00,-0.565,-,-0.529
1/5/2015,07:00,-0.483,-,-0.501
1/5/2015,08:00,-0.353,-,-0.433
1/5/2015,09:00,-0.161,-,-0.223
1/5/2015,10:00,0.102,-,0.083
1/5/2015,11:00,0.39,-,0.385
1/5/2015,12:00,0.606,-,0.511
1/5/2015,13:00,0.654,-,0.516
1/5/2015,14:00,0.497,-,0.324
1/5/2015,15:00,0.177,-,-0.003
1/5/2015,16:00,-0.177,-,-0.349
1/5/2015,17:00,-0.429,-,-0.645
1/5/2015,18:00,-0.537,-,-0.863
1/5/2015,19:00,-0.547,-,-0.907
1/5/2015,20:00,-0.493,-,-0.852
1/5/2015,21:00,-0.357,-,-0.717
1/5/2015,22:00,-0.127,-,-0.492
1/5/2015,23:00,0.165,-,-0.241
1/6/2015,00:00,0.425,-,-0.037
1/6/2015,01:00,0.539,-,0.013
1/6/2015,02:00,0.443,-,-0.054
1/6/2015,03:00,0.158,-,-0.302
1/6/2015,04:00,-0.203,-,-0.582
1/6/2015,05:00,-0.48,-,-0.824
1/6/2015,06:00,-0.586,-,-0.913
1/6/2015,07:00,-0.553,-,-0.911
1/6/2015,08:00,-0.446,-,-0.854
1/6/2015,09:00,-0.288,-,-0.691
1/6/2015,10:00,-0.072,-,-0.442
1/6/2015,11:00,0.192,-,-0.149
1/6/2015,12:00,0.449,-,0.164
1/6/2015,13:00,0.605,-,0.379
1/6/2015,14:00,0.587,-,0.434
1/6/2015,15:00,0.378,-,0.261
1/6/2015,16:00,0.043,-,-0.087
1/6/2015,17:00,-0.286,-,-0.441
1/6/2015,18:00,-0.492,-,-0.675
1/6/2015,19:00,-0.558,-,-0.713
1/6/2015,20:00,-0.533,-,-0.68
1/6/2015,21:00,-0.44,-,-0.56
1/6/2015,22:00,-0.269,-,-0.372
1/6/2015,23:00,-0.023,-,-0.141
1/7/2015,00:00,0.251,-,0.131
1/7/2015,01:00,0.46,-,0.353
1/7/2015,02:00,0.508,-,0.394
1/7/2015,03:00,0.357,-,0.301
1/7/2015,04:00,0.05,-,0.063
1/7/2015,05:00,-0.291,-,-0.271
1/7/2015,06:00,-0.522,-,-0.543
1/7/2015,07:00,-0.585,-,-0.625
1/7/2015,08:00,-0.519,-,-0.551
1/7/2015,09:00,-0.385,-,-0.375
1/7/2015,10:00,-0.203,-,-0.186
1/7/2015,11:00,0.021,-,0.019
1/7/2015,12:00,0.266,-,0.281
1/7/2015,13:00,0.475,-,0.53
1/7/2015,14:00,0.565,-,0.678
1/7/2015,15:00,0.484,-,0.645
1/7/2015,16:00,0.241,-,0.374
1/7/2015,17:00,-0.087,-,-0.011
1/7/2015,18:00,-0.376,-,-0.353
1/7/2015,19:00,-0.531,-,-0.544
1/7/2015,20:00,-0.553,-,-0.579
1/7/2015,21:00,-0.489,-,-0.536
1/7/2015,22:00,-0.362,-,-0.463
1/7/2015,23:00,-0.17,-,-0.351
1/8/2015,00:00,0.071,-,-0.128
1/8/2015,01:00,0.31,-,0.062
1/8/2015,02:00,0.46,-,0.152
1/8/2015,03:00,0.445,-,0.135
1/8/2015,04:00,0.255,-,-0.016
1/8/2015,05:00,-0.053,-,-0.305
1/8/2015,06:00,-0.359,-,-0.586
1/8/2015,07:00,-0.54,-,-0.778
1/8/2015,08:00,-0.558,-,-0.786
1/8/2015,09:00,-0.461,-,-0.693
1/8/2015,10:00,-0.306,-,-0.546
1/8/2015,11:00,-0.117,-,-0.364
1/8/2015,12:00,0.097,-,-0.159
1/8/2015,13:00,0.311,-,0.101
1/8/2015,14:00,0.464,-,0.278
1/8/2015,15:00,0.489,-,0.388
1/8/2015,16:00,0.359,-,0.291
1/8/2015,17:00,0.102,-,0.044
1/8/2015,18:00,-0.203,-,-0.281
1/8/2015,19:00,-0.442,-,-0.546
1/8/2015,20:00,-0.542,-,-0.62
1/8/2015,21:00,-0.518,-,-0.555
1/8/2015,22:00,-0.421,-,-0.437
1/8/2015,23:00,-0.274,-,-0.292
1/9/2015,00:00,-0.08,-,-0.129
1/9/2015,01:00,0.143,-,0.079
1/9/2015,02:00,0.34,-,0.302
1/9/2015,03:00,0.43,-,0.466
1/9/2015,04:00,0.364,-,0.465
1/9/2015,05:00,0.153,-,0.269
1/9/2015,06:00,-0.14,-,-0.065
1/9/2015,07:00,-0.403,-,-0.356
1/9/2015,08:00,-0.529,-,-0.529
1/9/2015,09:00,-0.503,-,-0.488
1/9/2015,10:00,-0.385,-,-0.331
1/9/2015,11:00,-0.227,-,-0.096
1/9/2015,12:00,-0.046,-,0.127
1/9/2015,13:00,0.148,-,0.322
1/9/2015,14:00,0.323,-,0.413
1/9/2015,15:00,0.421,-,0.355
1/9/2015,16:00,0.391,-,0.157
1/9/2015,17:00,0.23,-,-0.155
1/9/2015,18:00,-0.027,-,-0.459
1/9/2015,19:00,-0.298,-,-0.682
1/9/2015,20:00,-0.48,-,-0.771
1/9/2015,21:00,-0.521,-,-0.713
1/9/2015,22:00,-0.458,-,-0.643
1/9/2015,23:00,-0.344,-,-0.59
1/10/2015,00:00,-0.193,-,-0.53
1/10/2015,01:00,-0.006,-,-0.407
1/10/2015,02:00,0.193,-,-0.178
1/10/2015,03:00,0.345,-,0.106
1/10/2015,04:00,0.383,-,0.265
1/10/2015,05:00,0.281,-,0.213
1/10/2015,06:00,0.061,-,-0.078
1/10/2015,07:00,-0.208,-,-0.408
1/10/2015,08:00,-0.419,-,-0.606
1/10/2015,09:00,-0.49,-,-0.633
1/10/2015,10:00,-0.432,-,-0.558
1/10/2015,11:00,-0.311,-,-0.408
1/10/2015,12:00,-0.165,-,-0.286
1/10/2015,13:00,0,-,-0.134
1/10/2015,14:00,0.172,-,0.017
1/10/2015,15:00,0.31,-,0.149
