YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
87 01 01 00 340 07.2 07.7 99.00 99.00 99.00 999 1025.0  03.4 999.0 999.0 99.0
87 01 01 01 350 05.1 06.2 99.00 99.00 99.00 999 1025.4  02.4 999.0 999.0 99.0
87 01 01 02 340 05.7 06.2 99.00 99.00 99.00 999 1025.4  01.8 999.0 999.0 99.0
87 01 01 03 000 06.2 06.7 99.00 99.00 99.00 999 1025.9  01.3 999.0 999.0 99.0
87 01 01 04 000 04.1 04.6 99.00 99.00 99.00 999 1027.0  00.8 999.0 999.0 99.0
87 01 01 05 350 04.6 05.7 99.00 99.00 99.00 999 1027.3  00.8 999.0 999.0 99.0
87 01 01 06 350 05.1 05.7 99.00 99.00 99.00 999 1027.3  00.5 999.0 999.0 99.0
87 01 01 07 000 05.1 05.1 99.00 99.00 99.00 999 1027.4  00.2 999.0 999.0 99.0
87 01 01 08 000 03.6 04.1 99.00 99.00 99.00 999 1028.1  00.1 999.0 999.0 99.0
87 01 01 09 020 04.6 05.1 99.00 99.00 99.00 999 1028.1 -00.2 999.0 999.0 99.0
87 01 01 10 020 05.7 06.2 99.00 99.00 99.00 999 1027.8 -00.2 999.0 999.0 99.0
87 01 01 11 040 04.6 05.1 99.00 99.00 99.00 999 1028.7  00.0 999.0 999.0 99.0
87 01 01 12 040 05.1 06.2 99.00 99.00 99.00 999 1027.7  00.3 999.0 999.0 99.0
87 01 01 13 050 05.1 05.7 99.00 99.00 99.00 999 1027.4  00.8 999.0 999.0 99.0
87 01 01 14 050 02.6 02.6 99.00 99.00 99.00 999 1028.1  02.5 999.0 999.0 99.0
87 01 01 15 030 02.6 03.6 99.00 99.00 99.00 999 1028.4  03.6 999.0 999.0 99.0
87 01 01 16 090 01.5 01.5 99.00 99.00 99.00 999 1028.0  03.2 999.0 999.0 99.0
87 01 01 17 040 01.5 02.1 99.00 99.00 99.00 999 1026.3  03.5 999.0 999.0 99.0
87 01 01 18 100 03.6 04.1 99.00 99.00 99.00 999 1025.1  03.5 999.0 999.0 99.0
87 01 01 19 100 04.6 05.1 99.00 99.00 99.00 999 1024.4  03.6 999.0 999.0 99.0
87 01 01 20 090 04.1 04.6 99.00 99.00 99.00 999 1024.1  03.8 999.0 999.0 99.0
87 01 01 21 060 06.2 06.7 99.00 99.00 99.00 999 1022.7  03.7 999.0 999.0 99.0
