YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 01 00 00 316  7.2  8.5 99.00 99.00 99.00 999 1024.7 999.0 999.0 999.0 99.0 99.00
2021 01 01 01 00 319  8.9  9.4 99.00 99.00 99.00 999 1025.5 999.0 999.0 999.0 99.0 99.00
2021 01 01 02 00 319  7.7  8.3 99.00 99.00 99.00 999 1026.7 999.0 999.0 999.0 99.0 99.00
2021 01 01 03 00 332  9.2 10.5 99.00 99.00 99.00 999 1027.5 999.0 999.0 999.0 99.0 99.00
2021 01 01 04 00 330  8.5  9.7 99.00 99.00 99.00 999 1028.2 999.0 999.0 999.0 99.0 99.00
2021 01 01 05 00 331  8.0  8.7 99.00 99.00 99.00 999 1029.1 999.0 999.0 999.0 99.0 99.00
2021 01 01 06 00 331  7.6  8.7 99.00 99.00 99.00 999 1029.7 999.0 999.0 999.0 99.0 99.00
2021 01 01 07 00 336  7.0  7.8 99.00 99.00 99.00 999 1030.7 999.0 999.0 999.0 99.0 99.00
2021 01 01 08 00 345  6.9  7.9 99.00 99.00 99.00 999 1031.1 999.0 999.0 999.0 99.0 99.00
2021 01 01 09 00 353  6.4  7.3 99.00 99.00 99.00 999 1031.5 999.0 999.0 999.0 99.0 99.00
2021 01 01 10 00   6  7.0  7.6 99.00 99.00 99.00 999 1031.9 999.0 999.0 999.0 99.0 99.00
2021 01 01 11 00  13  9.1 10.6 99.00 99.00 99.00 999 1032.4 999.0 999.0 999.0 99.0 99.00
2021 01 01 12 00   7  6.5  7.4 99.00 99.00 99.00 999 1033.4 999.0 999.0 999.0 99.0 99.00
2021 01 01 13 00  19  7.4  8.0 99.00 99.00 99.00 999 1033.7 999.0 999.0 999.0 99.0 99.00
2021 01 01 14 00  10  5.7  6.4 99.00 99.00 99.00 999 1034.8 999.0 999.0 999.0 99.0 99.00
2021 01 01 15 00  13  5.3  5.7 99.00 99.00 99.00 999 1034.3 999.0 999.0 999.0 99.0 99.00
2021 01 01 16 00  25  4.2  4.8 99.00 99.00 99.00 999 1032.9 999.0 999.0 999.0 99.0 99.00
2021 01 01 17 00  33  3.7  4.0 99.00 99.00 99.00 999 1032.3 999.0 999.0 999.0 99.0 99.00
2021 01 01 18 00  35  0.2  0.7 99.00 99.00 99.00 999 1032.0 999.0 999.0 999.0 99.0 99.00
2021 01 01 19 00 314  0.5  0.7 99.00 99.00 99.00 999 1031.6 999.0 999.0 999.0 99.0 99.00
2021 01 01 20 00 317  0.9  1.3 99.00 99.00 99.00 999 1031.3 999.0 999.0 999.0 99.0 99.00
2021 01 01 21 00  33  2.3  2.7 99.00 99.00 99.00 999 1030.6 999.0 999.0 999.0 99.0 99.00
2021 01 01 22 00  54  2.7  3.3 99.00 99.00 99.00 999 1029.6 999.0 999.0 999.0 99.0 99.00
2021 01 01 23 00  65  2.4  2.8 99.00 99.00 99.00 999 1029.7 999.0 999.0 999.0 99.0 99.00
2021 01 02 00 00  76  2.8  3.1 99.00 99.00 99.00 999 1029.0 999.0 999.0 999.0 99.0 99.00
2021 01 02 01 00  88  3.9  4.2 99.00 99.00 99.00 999 1028.2 999.0 999.0 999.0 99.0 99.00
2021 01 02 02 00  96  6.5  7.1 99.00 99.00 99.00 999 1025.7 999.0 999.0 999.0 99.0 99.00
2021 01 02 03 00 123 10.0 11.3 99.00 99.00 99.00 999 1024.1 999.0 999.0 999.0 99.0 99.00
2021 01 02 04 00 122 13.0 14.7 99.00 99.00 99.00 999 1020.8 999.0 999.0 999.0 99.0 99.00
2021 01 02 05 00 105  9.7 10.5 99.00 99.00 99.00 999 1020.1 999.0 999.0 999.0 99.0 99.00
2021 01 02 06 00 117 13.9 15.7 99.00 99.00 99.00 999 1016.1 999.0 999.0 999.0 99.0 99.00
2021 01 02 07 00  86  9.3 10.3 99.00 99.00 99.00 999 1016.4 999.0 999.0 999.0 99.0 99.00
2021 01 02 08 00  88  8.9  9.3 99.00 99.00 99.00 999 1014.3 999.0 999.0 999.0 99.0 99.00
2021 01 02 09 00  76  8.3  8.9 99.00 99.00 99.00 999 1011.8 999.0 999.0 999.0 99.0 99.00
2021 01 02 10 00  67  9.7 10.6 99.00 99.00 99.00 999 1008.7 999.0 999.0 999.0 99.0 99.00
2021 01 02 11 00  67  7.0  8.4 99.00 99.00 99.00 999 1006.7 999.0 999.0 999.0 99.0 99.00
2021 01 02 12 00  82  6.7  7.2 99.00 99.00 99.00 999 1004.1 999.0 999.0 999.0 99.0 99.00
2021 01 02 13 00 321  3.0  3.5 99.00 99.00 99.00 999 1004.3 999.0 999.0 999.0 99.0 99.00
2021 01 02 14 00 282  7.3  7.8 99.00 99.00 99.00 999 1004.7 999.0 999.0 999.0 99.0 99.00
2021 01 02 15 00 252  8.2  9.0 99.00 99.00 99.00 999 1004.2 999.0 999.0 999.0 99.0 99.00
2021 01 02 16 00 258 15.1 16.7 99.00 99.00 99.00 999 1003.4 999.0 999.0 999.0 99.0 99.00
2021 01 02 17 00 276 14.5 15.9 99.00 99.00 99.00 999 1004.1 999.0 999.0 999.0 99.0 99.00
2021 01 02 18 00 301 15.1 17.2 99.00 99.00 99.00 999 1004.6 999.0 999.0 999.0 99.0 99.00
